Iteration:  NumOfCars:  CarsThatDontFit:  FreeSpace:  PercentFreeSpace:
  175  71  19  115.000000  23.000000 
  176  77  14  110.000000  22.000000 
  177  71  24  110.000000  22.000000 
  178  77  25  115.000000  23.000000 
  179  77  38  115.000000  23.000000 
  180  73  32  115.000000  23.000000 
  181  70  24  115.000000  23.000000 
  182  65  37  115.000000  23.000000 
  183  67  9  110.000000  22.000000 
  184  65  10  110.000000  22.000000 
  185  67  15  110.000000  22.000000 
  186  70  17  110.000000  22.000000 
  187  75  24  105.000000  21.000000 
  188  74  19  110.000000  22.000000 
  189  76  26  105.000000  21.000000 
  190  79  30  105.000000  21.000000 
  191  78  32  105.000000  21.000000 
  192  72  25  105.000000  21.000000 
  193  70  18  105.000000  21.000000 
  194  69  19  105.000000  21.000000 
  195  65  18  95.000000  19.000000 
  196  68  12  105.000000  21.000000 
  197  71  27  105.000000  21.000000 
  198  73  18  105.000000  21.000000 
  199  74  17  105.000000  21.000000 
  200  74  25  110.000000  22.000000 
  201  76  33  110.000000  22.000000 
  202  77  33  110.000000  22.000000 
  203  74  22  110.000000  22.000000 
  204  69  31  110.000000  22.000000 
  205  72  27  100.000000  20.000000 
  206  64  23  100.000000  20.000000 
  207  66  17  110.000000  22.000000 
  208  71  16  100.000000  20.000000 
  209  73  18  100.000000  20.000000 
  210  76  20  100.000000  20.000000 
  211  76  23  100.000000  20.000000 
  212  76  29  100.000000  20.000000 
  213  81  19  95.000000  19.000000 
  214  76  41  95.000000  19.000000 
  215  74  20  95.000000  19.000000 
  216  72  27  95.000000  19.000000 
  217  72  17  95.000000  19.000000 
  218  66  27  95.000000  19.000000 
  219  70  15  95.000000  19.000000 
  220  72  12  100.000000  20.000000 
  221  74  28  100.000000  20.000000 
  222  74  11  105.000000  21.000000 
  223  77  23  105.000000  21.000000 
  224  75  18  105.000000  21.000000 
  225  77  23  105.000000  21.000000 
  226  73  22  105.000000  21.000000 
  227  70  21  100.000000  20.000000 
  228  71  22  100.000000  20.000000 
  229  65  15  100.000000  20.000000 
  230  70  11  105.000000  21.000000 
  231  71  21  105.000000  21.000000 
  232  73  27  105.000000  21.000000 
  233  74  36  105.000000  21.000000 
  234  77  26  95.000000  19.000000 
  235  78  18  95.000000  19.000000 
  236  77  32  95.000000  19.000000 
  237  77  30  95.000000  19.000000 
  238  73  21  95.000000  19.000000 
  239  70  24  95.000000  19.000000 
  240  69  19  100.000000  20.000000 
  241  68  21  100.000000  20.000000 
  242  73  26  100.000000  20.000000 
  243  74  16  100.000000  20.000000 
  244  72  22  100.000000  20.000000 
  245  76  22  100.000000  20.000000 
  246  75  33  105.000000  21.000000 
  247  74  25  105.000000  21.000000 
  248  77  20  105.000000  21.000000 
  249  72  24  105.000000  21.000000 
  250  72  19  105.000000  21.000000 
  251  66  18  105.000000  21.000000 
  252  68  25  105.000000  21.000000 
  253  69  22  105.000000  21.000000 
  254  74  18  105.000000  21.000000 
  255  70  22  105.000000  21.000000 
  256  75  16  105.000000  21.000000 
  257  75  26  105.000000  21.000000 
  258  75  16  105.000000  21.000000 
  259  75  29  105.000000  21.000000 
  260  75  27  105.000000  21.000000 
  261  71  19  105.000000  21.000000 
  262  68  20  105.000000  21.000000 
  263  69  29  105.000000  21.000000 
  264  69  17  105.000000  21.000000 
  265  71  22  110.000000  22.000000 
  266  72  20  110.000000  22.000000 
  267  67  32  110.000000  22.000000 
  268  75  16  110.000000  22.000000 
  269  74  30  110.000000  22.000000 
  270  76  33  110.000000  22.000000 
  271  74  30  105.000000  21.000000 
  272  73  16  100.000000  20.000000 
  273  71  12  100.000000  20.000000 
  274  69  20  100.000000  20.000000 
  275  71  23  100.000000  20.000000 
  276  69  18  110.000000  22.000000 
  277  73  6  110.000000  22.000000 
  278  70  32  110.000000  22.000000 
  279  70  28  110.000000  22.000000 
  280  75  17  110.000000  22.000000 
  281  74  22  110.000000  22.000000 
  282  74  18  110.000000  22.000000 
  283  71  24  110.000000  22.000000 
  284  72  18  110.000000  22.000000 
  285  63  27  110.000000  22.000000 
  286  74  8  110.000000  22.000000 
  287  72  24  105.000000  21.000000 
  288  69  26  105.000000  21.000000 
  289  74  19  105.000000  21.000000 
  290  70  18  105.000000  21.000000 
  291  73  18  100.000000  20.000000 
  292  79  24  100.000000  20.000000 
  293  75  26  100.000000  20.000000 
  294  75  24  100.000000  20.000000 
  295  73  19  100.000000  20.000000 
  296  71  20  100.000000  20.000000 
  297  71  27  100.000000  20.000000 
  298  70  15  105.000000  21.000000 
  299  72  26  105.000000  21.000000 
  300  72  36  105.000000  21.000000 
  301  72  22  105.000000  21.000000 
  302  70  27  100.000000  20.000000 
  303  76  20  100.000000  20.000000 
  304  77  33  100.000000  20.000000 
  305  73  36  105.000000  21.000000 
  306  73  23  110.000000  22.000000 
  307  67  22  110.000000  22.000000 
  308  71  18  110.000000  22.000000 
  309  71  16  110.000000  22.000000 
  310  70  36  105.000000  21.000000 
  311  74  20  105.000000  21.000000 
  312  72  20  105.000000  21.000000 
  313  67  18  105.000000  21.000000 
  314  72  16  105.000000  21.000000 
  315  78  20  105.000000  21.000000 
  316  76  26  105.000000  21.000000 
  317  72  39  105.000000  21.000000 
  318  71  24  105.000000  21.000000 
  319  73  23  105.000000  21.000000 
  320  68  29  105.000000  21.000000 
  321  72  20  110.000000  22.000000 
  322  70  24  110.000000  22.000000 
  323  72  14  110.000000  22.000000 
  324  67  20  110.000000  22.000000 
  325  68  19  105.000000  21.000000 
  326  78  25  105.000000  21.000000 
  327  77  22  105.000000  21.000000 
  328  74  31  105.000000  21.000000 
  329  71  11  100.000000  20.000000 
  330  74  19  105.000000  21.000000 
  331  71  29  105.000000  21.000000 
  332  71  20  100.000000  20.000000 
  333  71  25  100.000000  20.000000 
  334  74  11  95.000000  19.000000 
  335  74  28  95.000000  19.000000 
  336  69  20  95.000000  19.000000 
  337  76  17  90.000000  18.000000 
  338  82  19  85.000000  17.000000 
  339  80  25  85.000000  17.000000 
  340  75  31  85.000000  17.000000 
  341  73  23  85.000000  17.000000 
  342  77  12  85.000000  17.000000 
  343  78  19  85.000000  17.000000 
  344  68  16  90.000000  18.000000 
  345  78  23  90.000000  18.000000 
  346  72  22  90.000000  18.000000 
  347  73  15  90.000000  18.000000 
  348  74  19  90.000000  18.000000 
  349  77  33  90.000000  18.000000 
  350  80  28  90.000000  18.000000 
  351  78  30  90.000000  18.000000 
  352  69  21  90.000000  18.000000 
  353  75  13  95.000000  19.000000 
  354  73  28  105.000000  21.000000 
  355  69  19  105.000000  21.000000 
  356  74  18  105.000000  21.000000 
  357  72  19  100.000000  20.000000 
  358  74  24  95.000000  19.000000 
  359  69  28  95.000000  19.000000 
  360  75  16  90.000000  18.000000 
  361  79  23  90.000000  18.000000 
  362  80  20  90.000000  18.000000 
  363  73  31  90.000000  18.000000 
  364  76  33  90.000000  18.000000 
  365  72  26  90.000000  18.000000 
  366  80  13  85.000000  17.000000 
  367  73  29  85.000000  17.000000 
  368  77  16  85.000000  17.000000 
  369  74  24  85.000000  17.000000 
  370  73  15  85.000000  17.000000 
  371  74  27  85.000000  17.000000 
  372  76  9  85.000000  17.000000 
  373  81  29  85.000000  17.000000 
  374  77  34  85.000000  17.000000 
  375  73  20  85.000000  17.000000 
  376  76  30  90.000000  18.000000 
  377  74  35  95.000000  19.000000 
  378  77  13  95.000000  19.000000 
  379  73  32  95.000000  19.000000 
  380  68  26  100.000000  20.000000 
  381  73  17  95.000000  19.000000 
  382  74  21  95.000000  19.000000 
  383  71  17  95.000000  19.000000 
  384  76  26  100.000000  20.000000 
  385  76  32  100.000000  20.000000 
  386  74  38  100.000000  20.000000 
  387  71  24  100.000000  20.000000 
  388  75  20  100.000000  20.000000 
  389  75  26  100.000000  20.000000 
  390  73  26  100.000000  20.000000 
  391  74  19  95.000000  19.000000 
  392  68  25  100.000000  20.000000 
  393  72  17  100.000000  20.000000 
  394  70  27  105.000000  21.000000 
  395  74  15  105.000000  21.000000 
  396  74  29  105.000000  21.000000 
  397  76  19  105.000000  21.000000 
  398  70  20  105.000000  21.000000 
  399  75  17  95.000000  19.000000 
  400  74  18  95.000000  19.000000 
  401  78  17  90.000000  18.000000 
  402  74  26  90.000000  18.000000 
  403  74  19  90.000000  18.000000 
  404  71  28  90.000000  18.000000 
  405  73  27  90.000000  18.000000 
  406  75  21  85.000000  17.000000 
  407  78  20  85.000000  17.000000 
  408  80  30  85.000000  17.000000 
  409  75  32  85.000000  17.000000 
  410  76  23  90.000000  18.000000 
  411  72  31  90.000000  18.000000 
  412  77  22  90.000000  18.000000 
  413  76  25  90.000000  18.000000 
  414  77  26  90.000000  18.000000 
  415  73  25  90.000000  18.000000 
  416  72  24  90.000000  18.000000 
  417  69  18  95.000000  19.000000 
  418  76  11  90.000000  18.000000 
  419  77  25  95.000000  19.000000 
  420  75  24  95.000000  19.000000 
  421  75  24  100.000000  20.000000 
  422  71  24  100.000000  20.000000 
  423  73  20  100.000000  20.000000 
  424  72  17  100.000000  20.000000 
  425  77  17  100.000000  20.000000 
  426  72  37  100.000000  20.000000 
  427  71  21  100.000000  20.000000 
  428  69  16  100.000000  20.000000 
  429  72  11  100.000000  20.000000 
  430  73  25  100.000000  20.000000 
  431  78  26  100.000000  20.000000 
  432  75  25  100.000000  20.000000 
  433  71  22  100.000000  20.000000 
  434  74  21  100.000000  20.000000 
  435  72  21  100.000000  20.000000 
  436  75  24  100.000000  20.000000 
  437  75  7  100.000000  20.000000 
  438  72  42  100.000000  20.000000 
  439  69  18  95.000000  19.000000 
  440  72  10  95.000000  19.000000 
  441  73  16  100.000000  20.000000 
  442  76  20  95.000000  19.000000 
  443  75  20  95.000000  19.000000 
  444  79  28  95.000000  19.000000 
  445  74  30  95.000000  19.000000 
  446  71  23  95.000000  19.000000 
  447  74  14  95.000000  19.000000 
